Subject,Trial Number,Type of Action,Object Type,GestureCondition,Word Order,Exclude,Spatial Cue,Randomizer,Randomizer Set,Clipped Movie File,Event,Word Order.Recode,Exclude.Recode,Spatial Cue.Recode,Used ASL,"""Embodied"" in some way",Comments,Spatial.Cue.Katy
4,20,Transitive,Object,Case,SOV,,1,0.466848486,6,Spatial_Clipped_070,Fireman throws star,SOV,,1,,,,NA
4,21,Transitive,Person,Case,SOV,,1,0.407959032,6,Spatial_Clipped_071,Boy lifts girl,SOV,,1,,,,NA
4,22,Transitive,Object,Case,OSV,,1,0.407959032,6,Spatial_Clipped_071,Girl rubs heart,OSV,,1,,,,NA
4,23,Intransitive,None,Case,SV,,0,0.407959032,6,Spatial_Clipped_071,Car tumbles,SV,,1,,,,NA
4,24,Transitive,Object,Case,OSV,,1,0.407959032,6,Spatial_Clipped_071,Old lady elbows ball,OSV,,1,,,,NA
4,25,Transitive,Person,Case,SOV,,1,0.750147829,6,Spatial_Clipped_072,Fireman pushes boy,SOV,,1,,,,NA
4,26,Intransitive,None,Case,SV,,0,0.750147829,6,Spatial_Clipped_072,Old lady jumps,SV,,1,,,,NA
4,27,Transitive,Object,Case,SOV,,1,0.750147829,6,Spatial_Clipped_072,Girl pushes car,SOV,,1,,,,NA
4,28,Transitive,Object,Case,OSV,,1,0.750147829,6,Spatial_Clipped_072,Boy kicks ball,OSV,,1,,,,NA
4,5,Transitive,Person,Free,SV,1,0,0.363810781,6,Spatial_Clipped_061,Girl kisses boy,SV,X,0,,E,,NA
4,6,Intransitive,None,Free,SV,,0,0.363810781,6,Spatial_Clipped_061,Girl tumbles,SV,,0,,,,NA
4,7,Transitive,Person,Free,SV,1,0,0.363810781,6,Spatial_Clipped_061,Old lady pokes fireman,SV,X,0,,E,Only gestured 'old lady' and 'pokes' No sentence,NA
4,8,Transitive,Object,Free,O,1,0,0.363810781,6,Spatial_Clipped_061,Fireman lifts car,VO,X,0,,,,NA
4,9,Transitive,Object,Free,SOV,,0,0.457960042,6,Spatial_Clipped_062,Boy pokes heart,SOV,,0,,E,,NA
4,10,Intransitive,None,Free,SV,,0,0.457960042,6,Spatial_Clipped_062,Heart falls,SV,,0,,,,NA
4,11,Intransitive,None,Free,SV,,0,0.457960042,6,Spatial_Clipped_062,Fireman falls,SV,,0,,,,NA
4,12,Intransitive,None,Free,SV,,0,0.457960042,6,Spatial_Clipped_062,Star jumps,SV,,0,,,,NA
4,13,Transitive,Person,Free,SOV,,0,0.343572944,6,Spatial_Clipped_063,Girl throws old lady,SOV,,0,,E,,NA
4,14,Transitive,Person,Free,OSV,,1,0.343572944,6,Spatial_Clipped_063,Old lady rubs fireman,OSV,,0,,E,,NA
4,15,Transitive,Object,Free,SOV,,1,0.343572944,6,Spatial_Clipped_063,Old lady kisses star,SOV,,0,,E,,NA
4,16,Transitive,Person,Free,SOV,,0,0.343572944,6,Spatial_Clipped_063,Fireman kicks girl,SOV,,0,,E,,NA
4,17,Intransitive,None,Free,SV,,0,0.421864189,6,Spatial_Clipped_064,Boy skates,SV,,0,,,,NA
4,18,Transitive,Person,Free,OSV,,0,0.421864189,6,Spatial_Clipped_064,Girl elbows old lady,OSV,,0,,E,,NA
4,19,Intransitive,None,Free,SV,,0,0.421864189,6,Spatial_Clipped_064,Ball rolls,SV,,0,,,,NA
4,20,Transitive,Object,Free,SOV,,0,0.421864189,6,Spatial_Clipped_064,Fireman throws star,SOV,,0,,E,,NA
